,Target,composition,volume_per_atom,material_id
1239,404.585746930088,Ag2GeS3,23.0924285478454,1239
350,116.585769797805,Ag2HgI4,40.1660425648043,350
722,336.58575232941,Ag2HgSI2,33.0834573284727,722
230,496.585739625123,Ag2PbO2,18.6178430495506,230
469,334.585752488214,Ag2TeS3,24.54171466522,469
1246,608.585730732122,AgAuO2,15.3358280040982,1246
488,234.068869969567,AgBiS2,22.6269656531795,488
329,127.585768924385,AgBr,25.0461143580566,329
293,183.585764477884,AgCl,22.2164372789687,293
292,103.345359484869,AgI,29.346365607374,292
1021,464.585742165981,AgP2,19.339615918688,1021
804,457.585742721793,Al2CdS4,23.2975612406711,804
523,386.585748359321,Al2CdSe4,26.8700297797209,523
983,332.585752647017,Al2CdTe4,33.7937170465595,983
980,465.585742086579,Al2HgS4,23.3917905561102,980
501,383.585748597526,Al2HgSe4,26.9836355925767,501
984,329.585752885223,Al2HgTe4,33.7826003154922,984
70,792.585716122193,Al2O3,8.74200077442887,70
886,442.58574391282,Al2Os,14.0827221702569,886
75,429.585744945044,Al2Se3,26.0866422306431,75
981,387.585748279919,Al2ZnSe4,24.9064545527721,981
982,332.585752647017,Al2ZnTe4,31.7476250579915,982
188,850.585711516889,Al4C3,11.6520141642582,188
1173,780.585717075014,AlAgO2,11.4305858194162,1173
794,436.585744389231,AlAgS2,21.7269134630378,794
151,373.585749391544,AlAgSe2,25.3677702716769,151
152,323.585753361633,AlAgTe2,31.5193834124005,152
257,331.585752726419,AlAs,23.5628302889743,257
975,990.585700400638,AlAsO4,16.9906123329675,975
435,495.585739704525,AlCuCl4,25.9396027869359,435
512,836.585712628514,AlCuO2,10.2466303665502,512
634,462.585742324784,AlCuS2,18.6856373337924,634
1001,375.58574923274,AlCuSe2,22.1740148036095,1001
1002,326.585753123428,AlCuTe2,27.9812111957879,1002
624,710.58572263314,AlF3,11.5387764677836,624
3,718.585721997925,AlGaN2,11.1817779095103,3
362,1886.58562925663,AlH3,8.53454747772006,362
838,719.585721918524,AlN,10.6318208407105,838
1093,418.585745818463,AlP,20.8594556466571,1093
974,1208.58568309105,AlPO4,16.0467509473995,974
390,291.585755902491,AlSb,30.2803121105962,390
849,767.585718107237,AlSbO4,10.4530479319103,849
176,295.585755584884,As2Ir,18.1119164766954,176
374,276.585757093518,As2Os,17.4484066645146,374
224,719.585721918524,As2PbO6,13.2765148296651,224
191,295.585755584884,As2Rh,17.9578706551487,191
956,289.585756061294,As2Ru,17.2495779954407,956
406,601.585731287935,Au2O3,14.1033070374761,406
194,1164.58568658473,B,7.24926681234652,194
1,701.585723347756,BAs,13.9910160470597,1
529,1070.58569404849,BAsO4,12.053835028305,529
199,1223.58568190002,BN,5.95860470394358,199
165,791.585716201595,BP,11.7498468274868,165
552,1221.58568205882,BPO4,11.0328323750583,552
1058,250.585759157964,Ba(AgS)2,24.6944584324474,1058
112,1002.58569944782,Ba(BeN)2,13.7150684803085,112
1035,276.585757093518,Ba(CdP)2,26.3220773068127,1035
895,614.585730255712,Ba(CuO)2,17.0562399686265,895
574,226.585761063607,Ba(GaTe2)2,36.3152339842061,574
1036,288.585756140696,Ba(MgAs)2,27.6013127247204,1036
473,233.585760507795,Ba(MgBi)2,35.1856586527058,473
1034,310.585754393857,Ba(MgP)2,25.4445764630178,1034
1152,252.585758999161,Ba(MgSb)2,33.1113491563619,1152
1114,644.585727873658,Ba(SbO3)2,16.4219305249098,1114
1060,113.58577003601,Ba2AsAu,32.8100628984606,1060
1066,94.5857715446441,Ba2BiAu,37.3592185530219,1066
321,652.585727238444,Ba2BiSbO6,16.2477823782228,321
691,1283.58567713591,Ba2Ca(BO3)2,14.3709688952009,691
706,628.585729144087,Ba2CuBrO2,26.8824438669013,706
697,628.585729144087,Ba2CuClO2,26.0061981499439,697
864,1853.58563187689,Ba2H6Os,14.892187592345,864
863,1733.58564140511,Ba2H6Ru,14.6455842633535,863
927,740.585720251086,Ba2HfO4,17.1197966455555,927
1138,446.086461646057,Ba2HfS4,27.9569799722902,1138
699,390.585748041713,Ba2I2O,37.730020299935,699
709,735.680593702308,Ba2LaNbO6,16.6576283088416,709
696,687.558452182579,Ba2LaSbO6,16.6080702256314,696
115,753.945626176183,Ba2LaTaO6,16.5876108439673,115
815,791.585716201595,Ba2LiReO6,13.9623795139966,815
1127,1298.58567594489,Ba2Mg(BO3)2,12.968247510148,1127
830,1191.58568444088,Ba2MgH6,14.3817402709116,830
20,366.585749947356,Ba2NF,23.9347774515915,20
430,230.585760746,Ba2PCl,36.3821304654054,430
228,635.285556532021,Ba2PbO4,18.5246879555452,228
1065,107.585770512421,Ba2SbAu,36.0630822263848,1065
535,693.58572398297,Ba2SnO4,17.1288951352161,535
121,695.307165129743,Ba2SrTeO6,16.4749297875044,121
679,744.616526936118,Ba2TaBiO6,16.2538844991334,679
91,781.585716995612,Ba2YTaO6,15.5508353187836,91
1136,659.585726682631,Ba2ZnN2,23.2604576504031,1136
1041,726.585721362711,Ba2ZrO4,17.5682786445328,1041
575,456.97355178318,Ba2ZrS4,28.4985870325123,575
747,430.585744865642,Ba3BiN,35.670237062655,747
237,620.585729779301,Ba3In2O6,18.1134923256558,237
105,435.585744468633,Ba3SbN,34.3916021052771,105
940,737.403877081817,Ba3Zr2O7,16.6809840774843,940
717,339.585752091205,BaAg2SnS4,26.0057117425005,717
203,244.585759634375,BaAgTeF,25.8242069984333,203
1209,1377.58566967214,BaAl2B2O7,15.3224019630419,1209
108,978.585701353459,BaAl2Sb2O7,17.9129349942228,108
783,1241.58568047079,BaAlSiH,21.4037754659003,783
725,1151.58568761695,BaB2F8,13.346873688564,725
692,1033.89404246553,BaBeSiO4,14.2014546605337,692
705,542.585735972641,BaBiClO2,23.2140683029452,705
695,507.585738751704,BaBiIO2,26.5773715220361,695
418,125.585769083188,BaBr2,35.7959124067052,418
317,265.585757966938,BaBrF,26.4275476519696,317
67,170.585765510108,BaCaSn,38.6541480176686,67
763,184.585764398483,BaCl2,33.9582111619549,763
347,283.585756537705,BaClF,24.375564702076,347
1118,282.39473424405,BaCuSeF,21.0101322744091,1118
32,301.585755108473,BaF2,20.6698186770081,32
2,1138.58568864917,BaGaSiH,21.1127983629759,2
372,820.585713898943,BaHBr,26.1624453889319,372
359,847.585711755094,BaHCl,23.9826689587305,359
360,779.585717154416,BaHI,29.8623438079663,360
33,719.585721918524,BaHfN2,18.2745796227627,33
1257,774.585717551425,BaHfO3,14.8651039284247,1257
581,618.585729938105,BaHgO2,25.0471970095607,581
332,106.585770591823,BaI2,44.217894084007,332
299,242.585759793179,BaIF,30.0998389609677,299
47,359.585750503169,BaLiAs,27.6755186616381,47
29,481.58574081615,BaLiF3,13.3123628859751,29
356,1013.5856985744,BaLiH3,12.9809205552489,356
120,350.585751217785,BaLiP,25.9436384514939,120
41,336.58575232941,BaLiSb,32.4378410334377,41
828,1867.58563076527,BaMg2FeH8,10.443529193932,828
772,2181.5856058331,BaN3Cl,20.212776540473,772
840,1271.58567808873,BaNaBO3,14.0887685557526,840
517,166.585765827715,BaNaBi,37.9996240788615,517
1188,211.585762254634,BaNaP,28.9878769585218,1188
1172,177.585764954295,BaNaSb,35.8999660152009,1172
123,374.585749312142,BaO,22.043495180865,123
63,910.585706752781,BaO2,17.3822964393831,63
972,444.585743754017,BaP3,25.3728389764166,972
103,520.58573771948,BaPdF4,18.1757416134289,103
588,328.585752964624,BaPdS2,26.5228243773217,588
168,218.585761698822,BaS,33.6547980521394,168
851,458.585742642391,BaS2,30.3622373982377,851
361,457.585742721793,BaS3,25.8137771118034,361
678,573.585733511185,BaSbClO2,21.8588801757005,678
99,109.585770353617,BaSe,37.3705668492131,99
931,225.585761143009,BaSe2,34.3648665203334,931
933,237.585760190188,BaSe3,29.5892384813598,933
871,777.58571731322,BaSeO3,18.4639010056432,871
727,785.585716678005,BaSiF6,13.7808513617877,727
524,721.255005369612,BaSnO3,14.6976270898719,524
924,142.585767733358,BaSr2I6,51.5205337855666,924
0,98.5857712270369,BaTe,44.5455472781976,0
676,708.870757299335,BaTeO3,19.6345146423779,676
74,1382.58566927514,BaTi(BO3)2,12.5008738993119,74
636,735.538617696687,BaTiO3,13.5940613438267,636
34,172.585765351304,BaYCuTe3,31.7698907373422,34
602,619.585729858703,BaZnO2,17.5736668420405,602
515,714.585722315533,BaZrN2,18.7517595504576,515
577,763.45856350738,BaZrO3,15.4148632996818,577
179,939.585704450129,Be2C,6.75458415333949,179
751,604.58573104973,Be3P2,13.2376238179095,751
423,989.58570048004,Be4TeO7,9.33877885680346,423
180,1209.58568301165,BeCN2,6.18491951696683,180
189,932.585705005942,BeF2,11.7061262971289,189
12,540.585736131445,BeGeAs2,20.3175073665423,12
208,1011.5856987332,BeO,6.99027404347453,208
601,599.585731446739,BeS,14.4779023284904,601
639,1234.5856810266,BeSO4,12.2685137846655,639
173,565.5857341464,BeSe,17.411838205809,173
11,528.585737084266,BeSiAs2,19.3814279677268,11
181,982.585701035852,BeSiN2,8.46574047618786,181
10,590.585732161355,BeSiP2,16.8262063849651,10
9,523.585737481275,BeSnAs2,22.7097941782064,9
382,501.585739228114,BeTe,22.7527559693295,382
340,1476.89876304432,Bi(BO2)3,11.99171208205,340
307,727.585721283309,BiSbO4,13.6897964134673,307
837,1310.58567499206,C,5.70515785613333,837
617,739.585720330488,Ca(AsO3)2,12.0017561284558,617
31,1292.5856764213,Ca(BC)2,10.7099479318646,31
87,1112.58569071362,Ca(BeN)2,10.6766597821491,87
876,185.585764319081,Ca(CdAs)2,24.912327675084,876
1154,297.58575542608,Ca(CdP)2,22.8737179740873,1154
1149,306.585754711464,Ca(MgAs)2,23.7747780036259,1149
472,235.585760348991,Ca(MgBi)2,30.9160114953197,472
1150,254.585758840357,Ca(MgSb)2,28.940217348046,1150
1112,657.585726841435,Ca(SbO3)2,13.9054249844843,1112
1155,212.585762175232,Ca(ZnAs)2,21.4763446570032,1155
1153,328.585752964624,Ca(ZnP)2,19.4257040579776,1153
451,222.585761381215,Ca2AsI,31.5539504435646,451
306,451.585743198204,Ca2BrN,20.8163272673507,306
502,223.585761301813,Ca2Ge,28.2732555297126,502
450,423.585745421454,Ca2IN,23.1325017342716,450
297,468.585741848374,Ca2NCl,19.358304808068,297
534,507.585738751704,Ca2NF,15.7312979197056,534
312,289.585756061294,Ca2PI,30.1209855668757,312
13,240.585759951982,Ca2Si,30.701683399758,13
786,344.585751694196,Ca2Zn2CuP3,19.0650662514339,786
1086,673.585725571006,Ca2ZnN2,16.366424922434,1086
408,244.585759634375,Ca3AsBr3,30.3338371149378,408
436,287.585756220098,Ca3AsCl3,27.6564154442019,436
499,1648.58564815426,Ca3BN3,14.8821390880229,499
935,480.585740895552,Ca3CdO4,14.0003118161319,935
475,304.585754870268,Ca3PCl3,26.6401148042748,475
84,485.110259021879,Ca3PN,21.1048431688549,84
1084,474.585741371963,Ca4As2O,23.0838660079462,1084
700,374.585749312142,Ca4Bi2O,27.067717738881,700
663,506.585738831106,Ca4P2O,21.9564624823211,663
130,401.585747168294,Ca4Sb2O,25.9740354531131,130
707,574.585733431784,CaBiClO2,20.558213158395,707
279,222.585761381215,CaBr2,34.2868699209667,279
594,2148.58560845336,CaCN2,14.8650561145193,594
583,1500.58565990572,CaCO3,12.7456323854673,583
917,465.585742086579,CaCdO2,13.8816750729146,917
327,257.585758602152,CaCl2,28.9689844841104,327
419,360.585750423767,CaClF,17.6869791831926,419
413,373.585749391544,CaF2,13.9863290126681,413
971,769.180019122109,CaGeN2,13.5534098806026,971
357,999.585699686022,CaHCl,17.0130368666686,357
823,3592.58549379717,CaHClO,16.2740486474094,823
546,3285.23090204327,CaHN,11.9344049053801,546
874,640.585728191265,CaHgO2,18.0676349833912,874
833,1519.58565839709,CaMg(CO3)2,11.0936377704334,833
795,542.585735972641,CaMg2N2,13.4315765288988,795
1235,1002.94475133807,CaMoN3,14.3823499705884,1235
389,466.585742007177,CaO,14.1660477515339,389
125,432.585744706838,CaP,24.2405951748775,125
1013,533.585736687257,CaPdF4,14.1003239913647,1013
987,632.58572882648,CaPdF6,15.3476801965166,987
1027,616.585730096908,CaPtF6,15.8417336892707,1027
202,244.585759634375,CaS,23.3475649326194,202
607,1173.58568587011,CaSO4,13.2102221783304,607
156,184.585764398483,CaSe,26.5256883557379,156
162,1340.58567261001,CaSn(BO3)2,11.4185029084385,162
628,601.585731287935,CaSnF6,18.4013086937962,628
599,607.585730811524,CaSnO3,13.8728266096732,599
1236,1297.58567602429,CaTcN3,14.0918147049262,1236
170,163.58576606592,CaTe,32.7254424631238,170
411,684.585724697586,CaTiF6,18.068581477986,411
1232,1335.58567300702,CaWN3,14.857571053571,1232
881,742.585720092282,Cd(AsO3)2,11.6522953838435,881
609,352.585751058982,Cd(GaS2)2,23.6075419072742,609
570,250.585759157964,Cd(GaSe2)2,27.1026514739756,570
143,208.58576249284,Cd(GaTe2)2,33.7656856695643,143
754,202.58576296925,Cd(InSe2)2,30.3561623007307,754
254,166.585765827715,Cd(InTe2)2,37.3139734320394,254
1024,689.585724300577,Cd(PtO2)3,12.2385858784798,1024
1098,656.585726920836,Cd(SbO3)2,13.4462693726227,1098
848,240.585759951982,Cd3AsI3,39.436742103047,848
1249,634.585728667676,CdAuO2,15.2148469974231,1249
937,541.585736052042,CdBiO3,15.2352217647214,937
58,2151.58560821516,CdCN2,13.767788711029,58
605,1470.58566228778,CdCO3,12.068863965292,605
368,373.585749391544,CdF2,13.8083905455073,368
561,371.585749550348,CdGeP2,23.1558073871256,561
565,524.585737401873,CdPbF6,17.6781160671811,565
145,619.585729858703,CdPdF6,14.6164041752968,145
800,592.585732002551,CdPtF6,14.8689187101987,800
562,251.017890699583,CdS,20.9431059857015,562
1056,1186.58568483789,CdSO4,13.8364670463437,1056
50,187.585764160277,CdSe,29.9733421807568,50
510,392.58574788291,CdSiAs2,24.8415382118079,510
623,476.585741213159,CdSiP2,21.7185164925201,623
137,595.585731764346,CdSnF6,16.4166920502983,137
926,589.585732240757,CdSnO3,13.6150689866482,926
656,334.585752488214,CdSnP2,26.2519169229547,656
104,144.585767574554,CdTe,36.4556663031015,104
620,400.585747247695,CoAsS,14.5192742192159,620
160,477.585741133757,CoP2,13.0844021146062,160
750,322.585753441035,Cs2AgAuCl6,31.7733007688119,750
1223,1340.34104436849,Cs2AlInH6,17.294111985913,1223
1229,1390.58566863992,Cs2AlTlH6,17.7268959635442,1229
1088,284.585756458303,Cs2As2Pd,35.6894660033046,1088
169,435.585744468633,Cs2CaF4,22.4068026232963,169
865,1188.58568467908,Cs2CaH4,23.7931990131402,865
431,317.585753838044,Cs2GeCl6,32.8437474619171,431
1025,588.585732320158,Cs2GeF6,21.4366758982369,1025
826,2094.58561274106,Cs2H6Pt,20.7224005726785,826
142,572.585733590587,Cs2HfF6,20.7825441178174,142
478,165.585765907117,Cs2HfI6,48.0545724135898,478
1104,405.017588021876,Cs2HgF4,23.6585493205401,1104
888,605.585730970328,Cs2HgO2,30.195270196721,888
1222,506.585738831106,Cs2KGaF6,19.1970155258714,1222
734,543.585735893239,Cs2KRhF6,19.6610839718131,734
839,547.585735575632,Cs2LiGaF6,18.1493238879375,839
1218,224.585761222411,Cs2LiInBr6,34.1242109173949,1218
1227,411.585746374276,Cs2LiTlF6,17.7119708549488,1227
745,294.585755664285,Cs2LiYCl6,29.899183467221,745
1237,1407.58566729009,Cs2NaAlH6,16.0456009669224,1237
1230,276.585757093518,Cs2NaAsCl6,30.5559386241032,1230
732,442.58574391282,Cs2NaBiF6,20.4040326105617,732
1228,285.585756378902,Cs2NaInCl6,31.2424686104963,1228
134,465.585742086579,Cs2NaInF6,18.6271915559554,134
1231,1317.58567443625,Cs2NaInH6,17.7865156312473,1231
810,500.585739307516,Cs2NaScF6,18.1122874282962,810
132,443.585743833418,Cs2NaTlF6,19.3569319397634,132
138,461.585742404186,Cs2NaYF6,19.4761365476613,138
999,269.58575764933,Cs2O,38.5343020101022,999
978,829.017456720019,Cs2O2,27.6163272105383,978
346,269.58575764933,Cs2PbCl6,35.4128272523231,346
675,257.585758602152,Cs2Pd(IBr2)2,38.3889801375463,675
650,347.585751455991,Cs2Pd3S4,27.7700013926098,650
640,602.585731208533,Cs2PdF6,21.8042315558598,640
127,83.4262226588859,Cs2Pt,40.3871736138434,127
146,375.58574923274,Cs2Pt3S4,28.6774941711872,146
496,228.585760904804,Cs2PtBr6,37.4678249408181,496
645,1804.58563576758,Cs2PtC2,30.1886404682678,645
345,332.585752647017,Cs2PtCl6,33.284731562319,345
1128,584.585732637766,Cs2PtF6,21.9821645312114,1128
316,177.585764954295,Cs2PtI6,44.9258955036658,316
1233,512.585738354695,Cs2RbGaF6,20.2966317818687,1233
667,184.585764398483,Cs2S,42.161393989555,667
15,100.585771068233,Cs2Se,51.2954545932049,15
906,237.585760190188,Cs2Se3,40.793712855512,906
429,304.585754870268,Cs2SeCl6,33.764169075449,429
790,400.585747247695,Cs2SiAs2,36.9412222981591,790
591,735.585720648095,Cs2SiF6,20.6772188674381,591
1101,463.585742245383,Cs2SiP2,34.3587989579176,1101
1102,214.585762016429,Cs2SnAs2,41.8328758008706,1102
821,218.585761698822,Cs2SnBr6,39.3973226002244,821
807,309.585754473259,Cs2SnCl6,33.704561590364,807
890,533.585736687257,Cs2SnF6,20.6506335076566,890
792,85.5857722592602,Cs2Te,54.5882144942438,792
644,145.585767495153,Cs2Te3,47.5885168258746,644
344,213.585762095831,Cs2TeBr6,39.6416973384233,344
348,275.58575717292,Cs2TeCl6,35.5395838532464,348
668,173.585765271902,Cs2TeI6,48.7932174347286,668
427,366.585749947356,Cs2TiCl6,32.7743719863557,427
527,441.585743992222,Cs2TiS3,32.1314194725532,527
1225,501.585739228114,Cs2TlGaF6,20.3140761529865,1225
819,333.585752567616,Cs2ZrCl6,34.9879485459762,819
979,562.585734384605,Cs2ZrF6,21.0557001491812,979
1083,693.58572398297,Cs2ZrO3,22.5925428495153,1083
1214,289.585756061294,Cs2ZrSe3,39.0101927089098,1214
788,980.585701194656,Cs3BAs2,40.867311652982,788
1179,1117.58569031661,Cs3BP2,38.0810011590014,1179
36,69.6372240578896,Cs3Sb,51.1000181500643,36
737,268.585757728732,CsAg3S2,25.1221192882809,737
743,223.585761301813,CsAgCl2,32.9884932930238,743
779,620.585729779301,CsAsF4,22.3950161355887,779
394,65.5857738472961,CsAu,42.0443701868866,394
1142,341.585751932401,CsAu3S2,33.4884283885334,1142
1144,241.58575987258,CsAu3Se2,34.6782913723433,1144
768,236.585760269589,CsAuBr3,36.8691264222306,768
349,335.585752408812,CsAuCl3,32.7096165609559,349
449,191.58576384267,CsAuI3,44.756312064962,449
1259,541.585736052042,CsAuO,28.502202878518,1259
793,231.607604657946,CsAuSe,38.8955281261136,793
752,234.585760428393,CsAuSe3,34.1642805897149,752
712,1384.58566911633,CsBe2BO3F2,14.2531661486347,712
370,1784.58563735561,CsBeH3,22.7603293300253,370
417,549.585735416828,CsBiF6,21.0244939047804,417
482,554.585735019819,CsBiO2,26.0582405415605,482
785,72.5857732914835,CsBr,50.6960954226406,785
296,272.585757411125,CsBrF,32.5119853447103,296
671,581.585732875971,CsBrF6,19.217065698863,671
460,790.585716280996,CsBrO3,21.9612526177867,460
495,221.853739916994,CsCaBr3,38.4721324790933,495
880,436.585744389231,CsCaF3,19.2383054176518,880
831,1220.58568213823,CsCaH3,19.876707814821,831
730,330.585752805821,CsCdAuS2,30.217320425223,730
673,165.175650287612,CsCdBr3,37.1815787873973,673
759,271.585757490527,CsCdCl3,30.2811994294132,759
1044,436.585744389231,CsCdF3,18.9993993213548,1044
276,115.585769877206,CsCl,37.2841146189604,276
710,605.585730970328,CsCu3O2,21.7738136080323,710
970,426.585745183249,CsCu3S2,27.749956081543,970
669,625.585729382292,CsCuO,26.5146550900875,669
711,663.585726365024,CsCuO2,22.5670507105014,711
1055,213.475610098721,CsF,25.3704008331319,1055
637,381.58574875633,CsGaS2,33.1232126814549,637
303,273.585757331723,CsGeCl3,33.607397466926,303
447,160.620206064518,CsGeI3,45.328779405695,447
816,675.585725412203,CsH,28.7251380095732,816
812,3305.58551658549,CsHO,20.5534668957832,812
738,422.016075560332,CsHgF3,20.4378359621628,738
809,61.5857741649032,CsI,60.679401348313,809
304,263.585758125741,CsICl2,38.8242250239899,304
445,754.585719139461,CsIO3,21.9356074802846,445
796,114.585769956608,CsK2Sb,41.9954222916475,796
97,159.585766383528,CsLaCdTe3,41.8893573424186,97
735,247.58575939617,CsLaS2,32.9328962062646,735
343,361.585750344365,CsLiCl2,29.5164150205217,343
489,315.585753996848,CsMgBr3,35.0718457937895,489
305,368.585749788553,CsMgCl3,29.8388416438588,305
490,257.381155760325,CsMgI3,43.2772273537234,490
530,1315.58567459506,CsNO2,21.573411425037,530
1069,195.585763525063,CsNaSe,34.8179378136677,1069
659,173.585765271902,CsNaTe,41.5594349137553,659
733,793.585716042791,CsNaTiO3,16.3573195847021,733
718,1194.9022217453,CsNb(PO4)2,17.5773540414473,718
